ID	LOG2FOLD	P	P.adj
ENSMUSG00000028100	5.8878806421	2.65872533711983E-105	5.5468986708331E-101
ENSMUSG00000030745	4.6490033472	6.31611865572923E-103	6.58865917572394E-099
ENSMUSG00000056692	3.2017932946	9.35703660143488E-089	6.50719515385786E-085
ENSMUSG00000029449	3.2849267483	6.60489349820556E-078	3.44494732632657E-074
ENSMUSG00000034438	5.2018698171	6.97642586895435E-077	2.91098345807989E-073
ENSMUSG00000032087	7.8614824125	1.69760264843789E-076	5.90284734239329E-073
ENSMUSG00000038781	5.1600397213	7.65161962441233E-075	2.28051057463021E-071
ENSMUSG00000029075	5.9292428739	1.67845411758123E-073	4.37719853188714E-070
ENSMUSG00000037944	5.4331927444	2.72764802707694E-073	6.32299119876736E-070
ENSMUSG00000040723	4.3183813718	4.37835865348545E-071	9.13456965876669E-068
ENSMUSG00000021190	3.7212971276	5.25781223396919E-069	9.9721578761181E-066
ENSMUSG00000000782	6.1786843234	8.36213101735272E-068	1.45382616179192E-064
ENSMUSG00000041132	3.6942067089	4.05007077595729E-067	6.49974050759977E-064
ENSMUSG00000023032	5.6011026399	1.4328163901138E-062	2.13520345335315E-059
ENSMUSG00000079037	4.2118921442	1.67712567795902E-062	2.33265820128394E-059
ENSMUSG00000102329	4.8488782605	3.86016909248937E-061	5.03341923603786E-058
ENSMUSG00000028101	3.2236951497	1.8267015267208E-060	2.24179258541036E-057
ENSMUSG00000021403	6.8804516956	3.09407355820557E-059	3.58620314693571E-056
ENSMUSG00000073802	5.4267927649	3.54747528793181E-054	3.89531457537481E-051
ENSMUSG00000048120	-3.727118711	3.90368063088367E-054	4.0721244501063E-051
ENSMUSG00000033508	7.1982686193	2.31391832422467E-053	2.29882276182378E-050
ENSMUSG00000022237	6.9901349267	5.59492947507669E-053	5.30577334720568E-050
ENSMUSG00000024778	5.1015578765	1.41242788937121E-050	1.28119491547616E-047
ENSMUSG00000027199	-2.9642020581	3.03303744301065E-050	2.63659417389713E-047
ENSMUSG00000027078	3.970354114	2.46676642690458E-049	2.05856591858041E-046
ENSMUSG00000036764	4.625853562	3.47216039446448E-049	2.78614162729663E-046
ENSMUSG00000022831	-2.6947694374	4.24396512331577E-049	3.27932756917544E-046
ENSMUSG00000029061	4.2755715965	5.16873365218825E-049	3.85126036377155E-046
ENSMUSG00000025938	6.9340468868	9.84514211824089E-048	7.0827310349262E-045
ENSMUSG00000046456	-5.5654583049	1.06088435990533E-047	7.37774346690165E-045
ENSMUSG00000032413	3.3967902165	4.335613671654E-047	2.91786800102314E-044
