ID	WT_r1	WT_r2	WT_r3	KO_r1	KO_r2	KO_r3	KO_rescue_r1	KO_rescue_r2	KO_rescue_r3
ENSMUSG00000000001	8450.22	8954.44	9664.65	9390.42	10359.26	9578.52	9577.01	10541.1	11631.48
ENSMUSG00000000028	151.26	160.52	172.05	181.77	133.44	150.25	244.1	198.72	255.64
ENSMUSG00000000037	4.62	0.91	0.28	0.01	0.2	2.43	0.01	6.32	1.7
ENSMUSG00000000049	2.77	1.81	0.37	2.65	3.52	2.13	0.25	3.82	2.7
ENSMUSG00000000056	1054.35	1102.87	1114.28	984.55	951.2	938.91	1075.28	959.04	1039.35
ENSMUSG00000000058	667.81	747.65	1051.36	2285.53	3103.71	2432.06	277.27	188.81	163.45
ENSMUSG00000000078	16322.32	15804.85	19812.5	20166.58	18656.55	19417.27	22722.03	23091.3	22502.14
ENSMUSG00000000085	263.97	267.24	302.53	384.05	377.6	422.62	316.14	366.4	372.85
ENSMUSG00000000088	2479.03	2902.58	3062.25	3071.85	3580.7	3479.25	2972.8	3382.69	3395.04
ENSMUSG00000000093	143.69	130.61	142.4	506.47	655.71	681.76	39.7	18.51	14.82
ENSMUSG00000000094	26.94	16.25	29.29	106.43	95.05	103.07	0.88	5.57	2.47
ENSMUSG00000000125	165.29	243.1	133.55	39.37	40.45	59.94	125.64	106.69	113.09
ENSMUSG00000000126	0.06	6.19	0	15.78	1.57	21.01	0.06	1.57	0
ENSMUSG00000000127	31.85	36.7	39.47	147.93	137.19	139.23	45.02	29.73	43.83
ENSMUSG00000000131	3261.78	3325.68	2836.14	2898.81	2781.5	3235.51	3893.63	3362.47	3515.28
ENSMUSG00000000134	1228.82	1457.78	1216.18	1378.47	1172.27	1242.42	1258.24	1353.56	1482.86
ENSMUSG00000000142	230.57	191.93	176.41	264.44	204.76	261.1	240.05	285.66	306.1
ENSMUSG00000000148	1001.98	1002.37	987.23	807.19	900.39	912.7	770.35	758.3	830.78
ENSMUSG00000000149	987.87	1012.48	1039.71	1107.97	1171.25	1193.16	785.7	752.97	821.92
ENSMUSG00000000154	7.16	8.26	5.19	33.31	57.43	67.25	7.16	3.75	2.92
ENSMUSG00000000159	2.47	8.19	0.74	29.83	27.39	34.96	1.82	1.86	5.37
ENSMUSG00000000167	8.9	7.27	20	38.74	45.4	31.93	7.26	11.71	4.6
ENSMUSG00000000168	2209.46	2258.03	2549.54	2498.1	2660.18	2512.15	2245.73	2345.12	2696.86
ENSMUSG00000000171	4649.32	5883.26	6061.75	5564.8	6995.04	6667.55	5885.07	6813.49	6890.17
ENSMUSG00000000182	6.15	0.81	2.42	0.19	0.81	0.19	0.63	0.81	0.19
ENSMUSG00000000184	19663.47	21347.09	26555.23	27367.75	29050.28	30508	24177.47	23104.65	21164.22
ENSMUSG00000000194	1477.34	1618.19	1452.48	1428.44	1611.09	1592.37	1498.68	1351.91	1589.82
ENSMUSG00000000197	2.07	2.96	0.22	-0.02	1.02	0.22	0.72	0.05	0.22
ENSMUSG00000000202	5.1	3.89	7.01	16.49	21.72	8.7	6.82	8.21	12.75
ENSMUSG00000000204	5.89	3.79	3.76	42.44	10.26	3.76	0.65	4.2	3.76
ENSMUSG00000000216	33.95	17.87	30.76	83.72	101.12	29.4	-2.54	1.92	8.85
ENSMUSG00000000244	7542.82	9179.39	8025.1	9766.17	12546.56	10804.15	9163.78	9282.28	9418.93
ENSMUSG00000000247	2.21	1.21	3.42	8.7	1.21	11.97	1.62	5.12	0.03
ENSMUSG00000000253	36.34	17.69	25.35	111.23	205.01	272.74	28.27	9.31	5.35
