ID	log2fold	p	p.adj
ENSMUSG00000015314	3.40809198043441	6.33320175633355e-273	1.12205335516962e-268
ENSMUSG00000031933	3.64852969842944	4.43576918139674e-272	3.9294261293403e-268
ENSMUSG00000002944	-7.72296951263104	2.79056292407546e-260	1.64801344419483e-256
ENSMUSG00000045092	2.24395333955018	7.65333512795964e-176	3.38985346155152e-172
ENSMUSG00000018339	-6.42629658785662	3.914542550614e-159	1.38707900738457e-155
ENSMUSG00000029603	5.04286393211393	4.81984890368338e-155	1.42322105044264e-151
ENSMUSG00000002504	-8.00229630802576	5.44333943725299e-150	1.37770921156873e-146
ENSMUSG00000000530	-5.24479820201937	4.16474498660819e-145	9.22334836596717e-142
ENSMUSG00000022180	-3.15866676470346	9.43332387052832e-141	1.85700221126834e-137
ENSMUSG00000032412	1.70098618064561	8.7892427152548e-139	1.55719013186169e-135
ENSMUSG00000024653	-11.655565737036	7.1841501367314e-137	1.15710534520428e-133
ENSMUSG00000021789	-11.8972935422002	9.86271903650875e-130	1.45614827641521e-126
ENSMUSG00000022097	-11.5440093971192	2.05772875432751e-127	2.80436771849388e-124
ENSMUSG00000000058	-4.63512613912468	1.85401265313309e-119	2.34625301253992e-116
ENSMUSG00000005696	1.86596849082373	1.26330652361765e-118	1.49213344526226e-115
ENSMUSG00000029455	-3.34512771147525	9.00473498010573e-115	9.97105560265833e-112
ENSMUSG00000056290	2.56829615854705	1.47059669386445e-112	1.53262127207038e-109
ENSMUSG00000006356	-2.61813505800056	6.36246371615541e-110	6.26243164772919e-107
ENSMUSG00000015568	-6.3510639508089	2.49417234799869e-108	2.32575007839436e-105
ENSMUSG00000026921	-6.44654242318803	3.26755360206467e-107	2.89456235838899e-104
ENSMUSG00000079017	2.79261507915978	6.28204109544896e-106	5.29994867086044e-103
ENSMUSG00000021759	-4.50283280234914	1.45126355068718e-102	1.1687289239784e-99
ENSMUSG00000040488	-6.17726971207938	4.5409351966044e-101	3.49790212514087e-98
ENSMUSG00000002980	-5.15732528841193	2.44150139742188e-99	1.80233667742181e-96
ENSMUSG00000036256	-2.64197345860665	6.16819921552916e-96	4.29605403178165e-93
ENSMUSG00000038235	-5.99299482984597	6.30453264245204e-96	4.29605403178165e-93
ENSMUSG00000025163	3.14105498414132	2.5633708412392e-92	1.68204597015685e-89
ENSMUSG00000026879	-3.01862505919647	4.19689866606698e-89	2.65558763095388e-86
ENSMUSG00000030579	-4.93611686435213	3.16378799769106e-87	1.93285627431353e-84
ENSMUSG00000091144	2.51290746577018	1.56061815647432e-86	9.21649062608515e-84
ENSMUSG00000058254	-8.99073644207725	1.77728625350891e-86	1.01574775978766e-83
ENSMUSG00000037820	-5.55209354636219	7.25975256979899e-86	4.01940738372277e-83
ENSMUSG00000020297	2.36193765466236	1.90181558433433e-84	9.91013726695629e-82
ENSMUSG00000032350	-1.45205072333039	1.85441296424409e-84	9.91013726695629e-82
ENSMUSG00000058135	-5.599620599294	1.5657031669029e-83	7.92558943086248e-81
ENSMUSG00000008540	-6.36987601487208	5.87462090230878e-83	2.89112940350568e-80
ENSMUSG00000032221	-2.00742210620887	6.12837961196495e-83	2.93450004284278e-80
ENSMUSG00000003379	-5.13920375310189	1.78615331129193e-81	8.32770479372606e-79
ENSMUSG00000022037	-3.8766442683432	1.53550841370456e-80	6.97553911938558e-78
ENSMUSG00000026104	1.30340460688257	1.96330828271039e-80	8.69598321119499e-78
ENSMUSG00000014846	-5.0969163924812	4.68084116568747e-80	2.02269421786548e-77
ENSMUSG00000019960	-2.11997563078327	5.91960796739043e-80	2.49708796091086e-77
ENSMUSG00000069763	-9.47093877179916	8.43851486355951e-80	3.47686436831823e-77
ENSMUSG00000079339	2.65865407736988	9.97036345092896e-78	4.01465748318428e-75
ENSMUSG00000074743	-8.1811975145707	6.21021461058635e-77	2.44503049457241e-74
ENSMUSG00000020846	2.93178810248805	2.07373810818031e-76	7.9870474049197e-74
ENSMUSG00000042228	-2.69765226224233	2.30630563471891e-75	8.69379083623724e-73
ENSMUSG00000053931	-4.04924569887596	5.78157255073954e-75	2.13400251836359e-72
ENSMUSG00000001552	-4.24345170205054	2.35825365890632e-73	8.52677144384558e-71
ENSMUSG00000059498	-5.3746396218028	6.79498793030039e-72	2.40773602322264e-69
ENSMUSG00000003477	-6.92582880451827	8.49487209926968e-72	2.95105194083845e-69
ENSMUSG00000022091	-4.20405272758793	9.15136927779555e-72	3.11797710566738e-69
ENSMUSG00000016494	-6.1784514916718	1.23141540992413e-70	4.11641260709921e-68
ENSMUSG00000085603	2.95322156713245	1.24672896884303e-69	4.09042539648001e-67
ENSMUSG00000041120	-6.15615745957295	1.81483500761505e-69	5.84607851453015e-67
ENSMUSG00000025473	-2.4428880097366	2.84431776655888e-69	8.99871033395065e-67
ENSMUSG00000048376	-1.98533271748503	3.37776197092759e-69	1.04989138313902e-66
ENSMUSG00000017754	-2.88350206928876	4.62613105352811e-69	1.41312351509237e-66
ENSMUSG00000034459	2.282850287497	6.58982955346831e-69	1.9788476304881e-66
ENSMUSG00000037242	-2.63268697628553	3.98409761069268e-68	1.1764376228107e-65
ENSMUSG00000028713	-8.1906503793255	1.73786898014662e-67	5.0475122493865e-65
ENSMUSG00000030775	2.43463681637038	6.35608593835588e-67	1.81630281564276e-64
ENSMUSG00000072941	-7.2914173163686	1.15823147578421e-66	3.25720429467761e-64
ENSMUSG00000000782	1.53879898635241	1.28236293523225e-66	3.5499412692984e-64
ENSMUSG00000036006	2.01915602963695	4.4448614823759e-66	1.21153247512698e-63
ENSMUSG00000035783	-6.45719240812285	1.86272544393265e-65	5.00028889244769e-63
ENSMUSG00000017737	-5.13031687831105	4.93186013840491e-65	1.30414576227045e-62
ENSMUSG00000029484	-5.49330958319245	5.39059490017118e-65	1.40448779185784e-62
ENSMUSG00000044258	-2.01951353347481	1.2778880241588e-64	3.28120900348138e-62
ENSMUSG00000024168	-7.91911033996925	4.17820223647742e-64	1.05750298605243e-61
ENSMUSG00000018819	1.11279805129612	5.42658740827638e-64	1.35412463538637e-61
ENSMUSG00000025492	-1.86039239066963	7.50192817697437e-64	1.84599529877021e-61
ENSMUSG00000028238	-6.35966379840746	8.76082999507142e-64	2.12624143866685e-61
ENSMUSG00000027074	-2.27660261785279	9.34811411434548e-64	2.23811537518728e-61
ENSMUSG00000043008	1.32691318145691	2.39830266417324e-63	5.66543044015432e-61
ENSMUSG00000044562	-4.91070550209386	1.30483842184089e-62	3.04181872628355e-60
ENSMUSG00000027800	-8.24383854901365	1.79785519694889e-62	4.13670136679786e-60
ENSMUSG00000033192	-4.26389498468017	1.93497917275194e-62	4.39513153892899e-60
ENSMUSG00000001700	2.62784402002594	3.03648614611541e-62	6.80980063933251e-60
ENSMUSG00000054435	1.52338767244893	4.98335684904293e-62	1.10362666618117e-59
ENSMUSG00000025809	1.6500301595181	1.44648938027755e-61	3.16388300621944e-59
ENSMUSG00000036944	1.63274425289648	9.81879942210214e-60	2.1214593824559e-57
ENSMUSG00000040809	-11.274249619164	1.38828892324477e-59	2.96341142808766e-57
ENSMUSG00000020486	-5.01505315240877	5.82703669948304e-59	1.2290191571993e-56
ENSMUSG00000031586	-4.38162581387803	1.54720603639682e-58	3.2249234525697e-56
ENSMUSG00000018774	-4.7512171708983	6.1198719482431e-57	1.2607647826398e-54
ENSMUSG00000004655	-7.32798901677134	7.6968484244255e-57	1.56741452339709e-54
ENSMUSG00000074457	-6.38675278519369	1.80543302818982e-56	3.63487010914079e-54
ENSMUSG00000002204	-6.48324325214018	3.38293242605675e-56	6.73431615645476e-54
ENSMUSG00000001270	-2.34895333358882	7.16733015593488e-56	1.41092875969665e-53
ENSMUSG00000021411	-1.99843787909654	1.79368063875084e-55	3.49215822821414e-53
ENSMUSG00000032548	-7.16044927752262	2.15237464070104e-55	4.14495885970655e-53
ENSMUSG00000027639	1.02386719168407	4.48465467629445e-55	8.5435082688074e-53
ENSMUSG00000017723	-6.80773994508498	6.82734525850139e-55	1.28680931856244e-52
ENSMUSG00000023092	-6.74955517095326	1.24563875343438e-54	2.32305071522072e-52
ENSMUSG00000031451	-5.77168031062157	2.10942405758093e-54	3.89298604460015e-52
ENSMUSG00000026814	-7.0167739342502	3.2802791461073e-54	5.99141295170958e-52
ENSMUSG00000030336	2.07064072022527	3.7384487205879e-54	6.75858122271998e-52
ENSMUSG00000027995	-2.97702512290646	8.43970906701734e-54	1.51036692464996e-51
