ID	LOG2FOLD	P	P.adj
ENSMUSG00000103032	-46.2036864281	2.28077270759473E-139	4.44910332070504E-135
ENSMUSG00000076441	4.0104074047	3.70429509400605E-051	3.61298421993881E-047
ENSMUSG00000061132	-5.5340925709	8.33037327141314E-044	4.0625147851364E-040
ENSMUSG00000001588	-3.7232500459	7.24380518514357E-044	4.0625147851364E-040
ENSMUSG00000028551	3.7095482632	2.77538527240985E-041	1.08278881017798E-037
ENSMUSG00000020432	3.7938319516	6.43008080512468E-040	2.09052643775945E-036
ENSMUSG00000037922	-7.3097511944	1.22205476642051E-037	3.40551747550926E-034
ENSMUSG00000047867	-4.970462611	1.52416522307593E-037	3.71648637581776E-034
ENSMUSG00000018168	-7.2767857699	2.92122327746755E-035	6.33158916372884E-032
ENSMUSG00000030711	3.8618042138	3.81784056186164E-035	7.44746158402351E-032
ENSMUSG00000019876	2.9783266441	3.07160440914639E-034	5.44707156447441E-031
ENSMUSG00000024675	-4.1946918403	2.51331524425849E-033	4.0856033724792E-030
ENSMUSG00000031825	-5.3765265209	1.1556141560749E-032	1.7340434878887E-029
ENSMUSG00000030577	-5.6154829843	1.72796797872339E-032	2.40767652578265E-029
ENSMUSG00000030798	-3.8329715132	1.19644221865715E-031	1.55593322395634E-028
ENSMUSG00000068735	-4.6195512775	3.62157722306228E-030	4.41538168064224E-027
ENSMUSG00000020034	-3.7096933605	3.93223170603453E-029	4.51212022880092E-026
ENSMUSG00000030724	-6.6704455623	4.69156932591408E-029	5.08435793558922E-026
ENSMUSG00000030263	-3.259169834	4.97082563626595E-029	5.10346819403368E-026
ENSMUSG00000003379	-5.2296530613	5.40456279844709E-029	5.27134032546537E-026
ENSMUSG00000000409	-4.0284290884	6.84459933421765E-029	6.35798091488493E-026
ENSMUSG00000012609	-2.4304255731	7.87355283997614E-029	6.98133614770066E-026
ENSMUSG00000027030	2.9321856478	2.85379497721747E-028	2.42039037480787E-025
ENSMUSG00000020788	-4.1777250475	4.4175718996345E-028	3.59056562692376E-025
ENSMUSG00000025085	-4.1800809917	3.22516011960827E-027	2.51652793812794E-024
ENSMUSG00000026778	-3.8664988103	4.66865933113081E-027	3.50275144509111E-024
ENSMUSG00000043541	5.2631997681	1.16583957683396E-026	8.42297504640745E-024
ENSMUSG00000110206	-4.2818109351	1.26442268108534E-026	8.80896187140416E-024
ENSMUSG00000015437	-7.014970796	1.58477220608036E-026	1.06600522151757E-023
ENSMUSG00000046687	4.1579255151	6.05816246446497E-026	3.93921917314394E-023
ENSMUSG00000032053	-5.2405872794	4.42794424863339E-025	2.78631962768037E-022
ENSMUSG00000032035	-4.3478256901	4.6828057312842E-025	2.85460910625503E-022
ENSMUSG00000036006	-4.6125036193	4.92272958671374E-025	2.90992988024318E-022
ENSMUSG00000068227	-5.2483447636	5.6055839818388E-025	3.19705216604772E-022
ENSMUSG00000036944	-4.2797993698	5.73623959664071E-025	3.19705216604772E-022
ENSMUSG00000027932	6.3490979414	6.22345462557116E-025	3.37224803836157E-022
ENSMUSG00000022018	-5.8350525388	6.41009335929118E-025	3.37950516647819E-022
ENSMUSG00000022221	-2.4878044101	7.22746285614501E-025	3.71016099828476E-022
ENSMUSG00000005540	-7.3388539756	1.12257670934933E-024	5.61489842801985E-022
ENSMUSG00000026944	-3.2712381565	2.52377207001082E-024	1.23078054424253E-021
ENSMUSG00000100736	-27.3650907607	2.66331070484686E-024	1.26715126632799E-021
ENSMUSG00000031403	-2.6609261537	2.79686988787465E-024	1.2990128786374E-021
ENSMUSG00000011256	2.1291769034	3.17943658102368E-024	1.44235510200067E-021
ENSMUSG00000022797	-3.7928938886	3.47882540063949E-024	1.54230561568806E-021
ENSMUSG00000028634	-2.8682400505	3.8912814217017E-024	1.68682725984745E-021
ENSMUSG00000029204	-3.5759659774	5.91462112069983E-024	2.50818509133677E-021
ENSMUSG00000026012	-4.7524561162	6.53011985410419E-024	2.71027761689384E-021
ENSMUSG00000037434	-2.9237048146	1.42005867459275E-023	5.77105928443349E-021
ENSMUSG00000052142	-2.972854752	1.90959600655616E-023	7.60214067344713E-021
ENSMUSG00000005583	-4.0163359912	2.70470902881961E-023	1.05521518050368E-020
ENSMUSG00000054435	-4.0415430389	3.10938816018703E-023	1.18931048707389E-020
ENSMUSG00000022346	-3.5792764695	3.45230794888446E-023	1.29508021459402E-020
ENSMUSG00000041836	-1.9944838622	3.67688228051581E-023	1.35330080464192E-020
ENSMUSG00000018169	-2.790727807	5.85034684092959E-023	2.11338362640766E-020
ENSMUSG00000027931	6.2383486953	7.56038101436273E-023	2.68146095358498E-020
ENSMUSG00000026594	-3.8280191419	1.66037475082996E-022	5.78373754722142E-020
ENSMUSG00000042474	-6.4670145277	1.74153726868465E-022	5.96002938600553E-020
ENSMUSG00000084280	-29.6031530267	2.28971212092287E-022	7.70093350738662E-020
ENSMUSG00000029603	-4.5522744059	2.41468649626541E-022	7.98360838688973E-020
ENSMUSG00000032279	-2.4328791252	4.6161898092168E-022	1.5008002434732E-019
ENSMUSG00000021182	-3.2472394766	6.27194419902817E-022	2.00568549984332E-019
ENSMUSG00000070738	-2.7632858172	6.5353767694736E-022	2.05621926842131E-019
ENSMUSG00000068105	-3.8521635199	9.276702955797E-022	2.87239118347194E-019
