ID	log2fold	p	p.adj
ENSMUSG00000005696	-3.01777138876454	0	0
ENSMUSG00000031933	-4.00562404334629	0	0
ENSMUSG00000015314	-3.57920123187303	1.10008215639148e-301	6.22939855759284e-298
ENSMUSG00000022180	8.17996698857482	9.61405695770016e-297	4.08308998993526e-293
ENSMUSG00000026069	7.27947892899041	1.88729105206044e-290	6.41226007848055e-287
ENSMUSG00000046908	3.56622174778951	1.70936787643351e-252	4.83979024747543e-249
ENSMUSG00000043017	3.8921215031223	2.86310044144513e-212	6.94833575703854e-209
ENSMUSG00000033577	3.3302231511112	1.0781130206441e-160	2.28937299933775e-157
ENSMUSG00000015619	1.93525148285805	4.77274319989754e-146	9.0088179422066e-143
ENSMUSG00000000440	3.97368290763557	4.78164027471618e-141	8.12305049868785e-138
ENSMUSG00000021789	4.44663208694462	1.23506189681936e-130	1.90738468210611e-127
ENSMUSG00000021411	3.11055558272903	2.08581662273871e-129	2.95282106559044e-126
ENSMUSG00000021792	2.75522862267838	8.28862528124203e-128	1.0831320482903e-124
ENSMUSG00000025492	2.68409207017997	7.54471998631012e-126	9.15497879481688e-123
ENSMUSG00000030336	-3.0490541059789	1.67700600249459e-116	1.8992651980252e-113
ENSMUSG00000031342	-3.33786810924735	2.22062787342e-114	2.35775164460369e-111
ENSMUSG00000002944	2.55567089917553	1.36649631704376e-109	1.3655317314082e-106
ENSMUSG00000042228	3.26730030975861	2.47702694315524e-106	2.33776298390673e-103
ENSMUSG00000027718	-6.5223349743248	7.82881979585107e-103	6.99978898378516e-100
ENSMUSG00000037944	-2.35050199145205	1.56349909570381e-98	1.27054533097573e-95
ENSMUSG00000079339	-2.98371454731569	1.57060583650166e-98	1.27054533097573e-95
ENSMUSG00000030114	4.4389461565143	3.37021910397864e-98	2.60242191538133e-95
ENSMUSG00000026237	5.12483969416045	2.99368526938809e-96	2.21116197201587e-93
ENSMUSG00000024621	5.09194860620097	1.77459351428928e-94	1.2561164425311e-91
ENSMUSG00000026770	2.9069169824512	4.05805649837021e-94	2.75753055177253e-91
ENSMUSG00000043931	-2.19564259696321	4.51132852129338e-93	2.94763265075892e-90
ENSMUSG00000056290	-2.2924197468209	4.49900367311851e-90	2.8307064592199e-87
ENSMUSG00000054435	-1.81512965382625	2.21926588572387e-87	1.34646031666704e-84
ENSMUSG00000032221	2.04174488780903	6.07549192772944e-87	3.55898127131958e-84
ENSMUSG00000025812	3.4620592203276	3.87807782599337e-85	2.19602620359918e-82
ENSMUSG00000036169	-6.92045406693081	2.7008967690224e-84	1.48009142942428e-81
ENSMUSG00000033192	5.01351254452996	7.23844009275855e-83	3.8427068842432e-80
ENSMUSG00000027219	-2.41724902009996	2.3545523156135e-76	1.21209499204976e-73
ENSMUSG00000035042	-3.59176756558959	4.0946855912494e-75	2.04589761247485e-72
ENSMUSG00000036256	2.29627833377141	1.00661199888229e-74	4.88580703914637e-72
ENSMUSG00000001700	-2.87940138917284	1.60400428423009e-74	7.56911799458355e-72
ENSMUSG00000032350	1.34232310825371	9.51972317084295e-74	4.37083938449405e-71
ENSMUSG00000020297	-2.17965070478332	2.04977861095952e-72	9.16358922183692e-70
ENSMUSG00000030579	4.26306588280146	6.93008990281006e-71	3.0186760838189e-68
ENSMUSG00000040488	3.65063023511518	8.7865097530183e-71	3.73163069210687e-68
ENSMUSG00000029455	2.48566516060142	3.40233934736086e-70	1.40973026421869e-67
ENSMUSG00000030653	-2.81712383974622	5.70557066562216e-69	2.30776748732355e-66
ENSMUSG00000018451	-3.42050904380244	6.34290209941377e-68	2.50588885732189e-65
ENSMUSG00000031438	2.58553652361082	4.71388566784274e-67	1.81998840284801e-64
ENSMUSG00000074607	-2.61834208310452	8.25037634981529e-66	3.1146087429036e-63
ENSMUSG00000020846	-2.71225390976471	1.00227014643203e-65	3.70142722773638e-63
ENSMUSG00000068227	-1.79450448391858	1.7424970503499e-65	6.29819997688173e-63
ENSMUSG00000027506	1.95039360795153	7.14931144885786e-65	2.53026047694161e-62
ENSMUSG00000011171	2.63018603295037	1.52453045622587e-63	5.17974467807303e-61
ENSMUSG00000044258	1.99870610435832	1.5088949207859e-63	5.17974467807303e-61
ENSMUSG00000000732	3.41679877124543	2.28492419337041e-63	7.61103768568168e-61
ENSMUSG00000060261	-1.43253466788653	2.77507129613858e-63	9.06594445746195e-61
ENSMUSG00000003379	3.84942079579538	3.2741768027597e-63	1.04946633066569e-60
ENSMUSG00000030137	5.1694610317381	8.1289960144974e-63	2.55732193137559e-60
ENSMUSG00000043629	-5.69546744873249	8.75727292312664e-63	2.70488277123774e-60
ENSMUSG00000052821	2.5217959927488	9.3567069909873e-63	2.83842389933736e-60
ENSMUSG00000020279	1.69808518464449	2.71259771970669e-62	8.08449299339953e-60
ENSMUSG00000017754	2.69807855703497	3.06986755916378e-62	8.99153622328866e-60
ENSMUSG00000015568	4.01832427034189	7.24077291650558e-61	2.08485170009486e-58
ENSMUSG00000041707	3.8499150660831	1.31905499247021e-60	3.73468436868066e-58
ENSMUSG00000020042	-3.58404540238973	1.35845151356959e-60	3.7831761168066e-58
ENSMUSG00000026989	-4.18173453002464	5.86455317479278e-60	1.60688756989322e-57
ENSMUSG00000091144	-2.08432731210391	7.41258804105066e-60	1.99881024827569e-57
ENSMUSG00000000782	-1.45544339373929	8.17373489642463e-60	2.16961575656971e-57
ENSMUSG00000045092	-1.28620213211517	6.44089245608062e-59	1.68335201605996e-56
ENSMUSG00000034459	-2.09515228868861	1.63049283390085e-58	4.19678973671327e-56
ENSMUSG00000060591	2.20406604740152	1.75322330287687e-57	4.44533693571228e-55
ENSMUSG00000030854	-5.34879236926574	2.75228141068176e-57	6.87584655950909e-55
ENSMUSG00000069763	2.2987453524442	6.20915972871195e-57	1.52871312277331e-54
ENSMUSG00000025701	5.30955632494543	1.11348833765799e-56	2.70227712573342e-54
ENSMUSG00000018102	2.59221897542949	3.77801432213308e-56	9.03956440906996e-54
ENSMUSG00000039114	-3.0878875901818	1.75603090492813e-54	4.14325736290543e-52
ENSMUSG00000026581	-2.30176144129393	7.49788631998372e-54	1.74485058635457e-51
ENSMUSG00000033016	-1.29186074729663	1.78862084239672e-53	4.1060933608967e-51
ENSMUSG00000020376	2.10036803584864	2.78397246438581e-53	6.26216749192058e-51
