ID	LP_r1	LP_r2	LP_r3	ML_r1	ML_r2	ML_r3	MLN_r1	MLN_r2	MLN_r3
ENSMUSG00000028180	1525.35	1085.93	1418.92	1112.82	806.21	1271.81	738.94	775.29	1073.3
ENSMUSG00000028182	23.13	10.88	11.76	7.06	37.66	6.04	1.86	11.39	5.34
ENSMUSG00000028184	169.28	183.45	175.72	127.83	71.45	77.03	16.77	26.85	32.96
ENSMUSG00000028187	1410.65	1209.53	1596.72	1268.09	1824.83	1664.52	1177.83	952.63	944.15
ENSMUSG00000028186	1.85	0	0	5.49	0	224.3	0	5.69	0.89
ENSMUSG00000028189	409.78	450.07	334.15	174.1	131.31	161.62	95.05	142.37	133.61
ENSMUSG00000028188	80.48	81.62	96.16	67.44	59.86	77.79	64.3	181.42	101.54
ENSMUSG00000083764	3.7	3.11	1.38	3.14	1.93	3.02	4.66	1.63	2.67
ENSMUSG00000035429	8.33	17.1	22.14	7.06	0	2.27	0	0	0
ENSMUSG00000074781	2501.24	2292.35	2362.56	2285.23	2849.24	3204.44	3909.03	2707.4	2544.76
ENSMUSG00000069833	750.19	733.02	1050.18	2129.96	1624	2772.45	1499.32	3108.46	2445
ENSMUSG00000069830	962.01	702.71	882.07	116.85	82.07	42.29	13.98	211.52	182.6
ENSMUSG00000028238	0	0	0	5.49	17.38	0	0.93	48	0.89
ENSMUSG00000033862	282.13	417.43	417.86	343.49	318.62	339.1	334.53	345.75	248.51
ENSMUSG00000038762	2802.79	3330.08	3023.94	2616.96	2998.9	2071.59	2400.4	2089.12	1426.03
ENSMUSG00000033860	0	0	0	0.78	0	247.72	0	0	0
ENSMUSG00000069835	13.88	33.43	23.52	7.06	22.21	20.39	5.59	12.2	13.36
ENSMUSG00000028233	636.41	757.12	691.82	428.97	608.28	925.16	482.69	402.69	670.7
ENSMUSG00000028232	731.69	671.61	885.53	470.54	368.83	431.99	143.5	418.15	435.56
ENSMUSG00000028234	2219.11	2663.91	2045.02	2147.99	3262.48	4666.56	4489.56	1938.62	1711.94
ENSMUSG00000114974	0.93	0	0	0	0	0	0	0	0
