ID	SYMBOL	CHROMOSOME	START	STOP	BIOTYPE
AT1G03410	2A6	1	844436	847683	gene
AT5G06290	2-Cys Prx B	5	1919080	1921425	gene
AT1G47290	3BETAHSD/D1	1	17335751	17339275	gene
AT2G26260	3BETAHSD/D2	2	11178064	11183278	gene
AT4G11080	3xHMG-box1	4	6760278	6763499	gene
AT4G23800	3xHMG-box2	4	12390167	12392710	gene
AT1G51680	4CL1	1	19158746	19161737	gene
AT3G21240	4CL2	3	7454269	7457404	gene
AT1G65060	4CL3	1	24167202	24171635	gene
AT3G21230	4CL5	3	7448040	7452106	gene
AT5G38120	4CL8	5	15213593	15216205	gene
AT5G13050	5-FCL	5	4136556	4138792	gene
AT1G47510	5PTASE11	1	17435525	17438490	gene
AT2G43900	5PTase12	2	18178588	18184089	gene
AT1G05630	5PTASE13	1	1682224	1687363	gene
AT2G31830	5PTase14	2	13532483	13537800	gene
AT1G56560	A/N-InvA	1	21192137	21195166	gene
AT4G34860	A/N-InvB	4	16609746	16612907	gene
AT3G06500	A/N-InvC	3	2011993	2015831	gene
AT1G22650	A/N-InvD	1	8013353	8016150	gene
AT1G72000	A/N-InvF	1	27103277	27105663	gene
AT4G28395	A7	4	14043940	14044902	gene
AT3G08580	AAC1	3	2605435	2607895	gene
AT5G13490	AAC2	5	4335272	4337730	gene
AT4G28390	AAC3	4	14041288	14043347	gene
AT5G47720	AACT1	5	19331547	19334427	gene
AT5G61160	AACT1	5	24608605	24610329	gene
AT1G20560	AAE1	1	7119671	7121871	gene
AT1G66120	AAE11	1	24612620	24614805	gene
AT1G65890	AAE12	1	24512438	24514659	gene
AT3G16170	AAE13	3	5475855	5480349	gene
AT1G30520	AAE14	1	10810397	10813779	gene
AT4G14070	AAE15	4	8111944	8118188	gene
AT3G23790	AAE16	3	8575051	8581331	gene
AT5G23050	AAE17	5	7731221	7735566	gene
AT1G55320	AAE18	1	20633096	20636892	gene
AT1G77240	AAE2	1	29017958	29019789	gene
AT3G48990	AAE3	3	18158565	18161486	gene
AT5G16370	AAE5	5	5356551	5358789	gene
AT3G16910	AAE7	3	5772743	5775841	gene
AT4G20070	AAH	4	10861382	10864765	gene
AT5G60340	AAK6	5	24274876	24276122	gene
AT3G43600	AAO2	3	15511832	15517545	gene
AT2G27150	AAO3	2	11601727	11608450	gene
AT1G58360	AAP1	1	21676388	21680519	gene
AT5G09220	AAP2	5	2866222	2869156	gene
AT1G77380	AAP3	1	29074879	29077390	gene
AT5G63850	AAP4	5	25550937	25553656	gene
AT1G44100	AAP5	1	16764392	16767685	gene
AT5G49630	AAP6	5	20142430	20146690	gene
AT5G23810	AAP7	5	8028238	8030888	gene
AT1G10010	AAP8	1	3265886	3268823	gene
AT1G13560	AAPT1	1	4638468	4642190	gene
AT3G25585	AAPT2	3	9295175	9298746	gene
AT3G28970	AAR3	3	10987785	10990016	gene
AT4G14570	AARE	4	8362117	8366760	gene
AT2G20340	AAS	2	8779667	8782789	gene
AT2G22250	AAT	2	9457786	9460919	gene
AT4G21120	AAT1	4	11269985	11274007	gene
AT5G40010	AATP1	5	16020058	16021916	gene
AT5G67030	ABA1	5	26753469	26757402	gene
AT1G52340	ABA2	1	19489794	19491650	gene
AT1G16540	ABA3	1	5659370	5665488	gene
AT1G67080	ABA4	1	25045151	25047103	gene
AT5G13060	ABAP1	5	4142910	4147140	gene
AT4G01660	ABC1	4	708357	711256	gene
AT1G60600	ABC4	1	22324437	22327359	gene
AT2G41700	ABCA1	2	17382890	17396301	gene
AT5G61740	ABCA10	5	24808406	24812739	gene
AT5G61690	ABCA11	5	24789237	24793528	gene
AT5G61700	ABCA12	5	24793779	24798745	gene
AT3G47730	ABCA2	3	17594060	17599083	gene
AT3G47740	ABCA3	3	17600521	17605128	gene
AT3G47750	ABCA4	3	17606359	17611065	gene
AT3G47760	ABCA5	3	17611787	17616743	gene
AT3G47770	ABCA6	3	17617972	17622915	gene
AT3G47780	ABCA7	3	17624340	17629285	gene
AT3G47790	ABCA8	3	17629530	17633942	gene
AT5G61730	ABCA9	5	24803427	24807920	gene
AT2G36910	ABCB1	2	15501726	15507501	gene
AT1G02520	ABCB11	1	523536	529069	gene
AT1G02530	ABCB12	1	529679	534677	gene
AT1G27940	ABCB13	1	9733430	9738236	gene
AT1G28010	ABCB14	1	9763211	9768113	gene
AT3G28345	ABCB15	3	10593690	10599042	gene
AT3G28360	ABCB16	3	10611024	10616361	gene
AT3G28380	ABCB17	3	10623699	10628201	gene
AT3G28390	ABCB18	3	10629425	10633967	gene
AT3G28860	ABCB19	3	10870005	10877578	gene
AT4G25960	ABCB2	4	13177356	13183692	gene
AT3G55320	ABCB20	3	20506992	20513533	gene
AT3G62150	ABCB21	3	23008653	23014030	gene
AT3G28415	ABCB22	3	10647123	10651540	gene
AT4G28630	ABCB23	4	14138321	14141054	gene
AT4G28620	ABCB24	4	14135526	14137953	gene
AT5G58270	ABCB25	5	23561890	23567244	gene
AT1G70610	ABCB26	1	26621899	26626508	gene
AT5G39040	ABCB27	5	15625460	15629835	gene
AT4G25450	ABCB28	4	13009690	13014085	gene
AT5G03910	ABCB29	5	1054078	1057172	gene
AT4G01820	ABCB3	4	780646	785340	gene
AT2G47000	ABCB4	2	19309643	19315343	gene
