ID	SYMBOL	BIOTYPE	CHROMOSOME	START	STOP
ENSMUSG00000102483	Catspere1	other	1	177808550	177962233
ENSMUSG00000102493	Gm8010	other	1	178143301	178144272
ENSMUSG00000104097	Gm37313	other	1	177989662	177998739
ENSMUSG00000103584	Gm38053	other	1	176854400	176854559
ENSMUSG00000102920	Olfr416-ps1	other	1	174374547	174375683
ENSMUSG00000103110	Gm37586	other	1	169853548	169853751
ENSMUSG00000084189	Gm8089	other	1	107290341	107302354
ENSMUSG00000100955	Gm18728	other	1	103171926	103268593
ENSMUSG00000103516	Gm37431	other	1	181022663	181022773
ENSMUSG00000099469	Gm29141	other	1	103363986	103423658
ENSMUSG00000102219	Gm6606	other	1	181067596	181076640
ENSMUSG00000103051	Gm7871	other	1	173712735	173715660
ENSMUSG00000090222	Ifi203-ps	other	1	173776529	173798270
ENSMUSG00000100935	Gm29592	other	1	104609524	104610883
ENSMUSG00000102187	Gm7897	other	1	173829799	173832254
ENSMUSG00000102433	Gm38050	other	1	173849149	173850780
ENSMUSG00000099702	Gm29013	other	1	105244425	105244661
ENSMUSG00000103588	Gm18445	other	1	173986926	174001972
ENSMUSG00000089927	Gm16539	other	1	181431723	181432400
ENSMUSG00000102603	Olfr431-ps1	other	1	174051998	174052541
ENSMUSG00000106975	Olfr428-ps1	other	1	174094967	174095432
ENSMUSG00000103863	Gm37417	other	1	174110900	174111353
ENSMUSG00000107114	Gm43440	other	1	174167702	174169724
ENSMUSG00000099615	Gm28362	other	1	117662291	117678373
ENSMUSG00000100527	Gm28359	other	1	117741367	117768622
ENSMUSG00000099571	Gm18182	other	1	117747031	117751372
ENSMUSG00000100886	Gm7195	other	1	117868522	117899722
ENSMUSG00000100177	Gm29489	other	1	118030315	118046849
ENSMUSG00000101590	Gm29104	other	1	118064118	118064959
ENSMUSG00000100257	C4bp-ps1	other	1	130670261	130684071
ENSMUSG00000101751	Gm2427	other	1	85501090	85514604
ENSMUSG00000099719	Gm28802	other	1	58850085	58892792
ENSMUSG00000084228	Gm8080	other	1	107020137	107025325
ENSMUSG00000106730	Gm42472	other	1	173052832	173053690
ENSMUSG00000102870	Gm17868	other	1	167141155	167141822
ENSMUSG00000107139	Gm42475	other	1	173076976	173077270
ENSMUSG00000103338	Olfr1409-ps1	other	1	173097997	173098248
ENSMUSG00000066680	Olfr1407-ps1	other	1	173149171	173150371
ENSMUSG00000080729	Gm8084	other	1	107191475	107193557
ENSMUSG00000099770	Gm28623	other	1	102161367	102161939
ENSMUSG00000101890	Gm3116	other	1	102449353	102537656
ENSMUSG00000103930	Gm36961	other	1	180976158	180976289
ENSMUSG00000101660	Gm18666	other	1	93906244	93916768
ENSMUSG00000099624	Gm7889	other	1	93975353	93985816
ENSMUSG00000100819	Gm2693	other	1	21178988	21187427
ENSMUSG00000099569	Gm18301	other	1	52134443	52135330
ENSMUSG00000090623	Cfhr3	other	1	139584783	139660899
ENSMUSG00000096375	Gm7094	other	1	21272403	21272906
ENSMUSG00000100503	Gm28927	other	1	65420850	65421121
ENSMUSG00000099383	Gm28925	other	1	65421770	65421937
ENSMUSG00000100504	Gm28926	other	1	65421124	65421803
ENSMUSG00000093963	Gm21909	other	1	21312517	21316320
ENSMUSG00000086194	Gm16329	other	1	21354005	21355116
ENSMUSG00000085507	Gm2709	other	1	21372670	21373764
ENSMUSG00000089991	Gm16332	other	1	139862957	139936477
ENSMUSG00000089937	Gm7281	other	1	85332716	85342086
ENSMUSG00000090128	Gm16038	other	1	85115319	85117237
ENSMUSG00000101279	Gm18342	other	1	85067394	85080236
ENSMUSG00000099693	Gm29284	other	1	84990638	84993032
ENSMUSG00000061852	Gm7582	other	1	85027954	85041958
ENSMUSG00000089976	Gm2389	other	1	85061154	85062642
ENSMUSG00000085867	Gm5834	other	1	139939601	139994205
ENSMUSG00000100484	Gm7133	other	1	97162860	97310664
ENSMUSG00000070977	Defb44-ps	other	1	18210053	18223564
ENSMUSG00000100261	Gm6473	other	1	30769687	30771815
ENSMUSG00000102001	Gm28755	other	1	18005961	18016186
ENSMUSG00000100131	Gm28439	other	1	24611535	24612410
ENSMUSG00000067736	Gm10222	other	1	24612407	24612700
ENSMUSG00000101939	Gm28438	other	1	24612775	24613119
ENSMUSG00000101111	Gm28437	other	1	24613189	24613971
ENSMUSG00000100862	Gm10925	other	1	24613974	24614651
ENSMUSG00000101798	Gm28995	other	1	78433352	78433612
ENSMUSG00000083478	Gm15375	other	1	88025211	88026059
ENSMUSG00000083277	Gm15376	other	1	88191901	88192683
ENSMUSG00000084195	Gm15372	other	1	88126776	88127609
ENSMUSG00000081488	Gm15368	other	1	88186662	88187519
ENSMUSG00000082837	Gm15373	other	1	88097918	88098131
ENSMUSG00000082513	Gm15374	other	1	88151038	88151881
ENSMUSG00000082677	Gm15371	other	1	88153788	88154571
ENSMUSG00000081261	Gm15370	other	1	88129581	88129833
ENSMUSG00000081602	Gm15369	other	1	88146376	88146769
ENSMUSG00000102070	Gm28661	other	1	24614885	24615565
ENSMUSG00000101249	Gm29216	other	1	24615706	24616197
ENSMUSG00000100026	Gm29105	other	1	131907165	131907954
ENSMUSG00000100069	Gm6801	other	1	53390415	53392585
ENSMUSG00000099432	Gm18849	other	1	46056310	46058986
ENSMUSG00000101955	Gm29376	other	1	134519978	134524139
ENSMUSG00000038218	Gm9765	other	1	171515233	171516922
ENSMUSG00000104169	Gm7430	other	1	159209135	159211141
ENSMUSG00000099363	Gm28478	other	1	92574614	92574796
ENSMUSG00000107778	Gm44098	other	1	92589872	92589917
ENSMUSG00000108131	Gm44099	other	1	92595365	92595476
ENSMUSG00000101730	Gm28580	other	1	70067968	70068055
ENSMUSG00000082745	Gm15181	other	1	75514107	75514283
ENSMUSG00000100380	Gm17867	other	1	147503868	147506042
ENSMUSG00000109913	Gm30694	other	1	157118948	157134399
ENSMUSG00000082373	Gm13754	other	1	63917848	63935932
ENSMUSG00000102817	Gm6185	other	1	161176936	161237307
ENSMUSG00000103105	Gm18752	other	1	173701385	173706407
ENSMUSG00000102371	Olfr258-ps1	other	1	174140408	174143254
ENSMUSG00000100703	Gm28358	other	1	118008769	118030415
ENSMUSG00000090186	Gm7592	other	1	85526690	85550577
ENSMUSG00000102059	Gm20257	other	1	58652641	58655831
ENSMUSG00000025936	Gm4956	other	1	21285246	21298312
ENSMUSG00000045463	Slco6b1	other	1	96906176	96997577
ENSMUSG00000091199	Gm2619	other	1	85156809	85327306
ENSMUSG00000079455	Gm16026	other	1	85266698	85285491
ENSMUSG00000089716	Gm6264	other	1	85159764	85194260
ENSMUSG00000079457	Gm7609	other	1	85199613	85213786
ENSMUSG00000101348	Gm7135	other	1	97346475	97573015
ENSMUSG00000101940	Akp-ps1	other	1	87067672	87071098
ENSMUSG00000101717	Gm45784	other	1	18048100	18058269
ENSMUSG00000099473	Gm18775	other	1	17993010	17999622
ENSMUSG00000101838	Gm18800	other	1	53326206	53342186
ENSMUSG00000096964	Gm6345	other	1	170254049	170255739
ENSMUSG00000100515	Gm17916	other	1	115668988	115684624
ENSMUSG00000055676	Gm5069	other	1	180326970	180330550
ENSMUSG00000102185	5033404E19Rik	other	1	185487294	185498159
ENSMUSG00000103357	Gm7804	other	1	172458569	172474969
ENSMUSG00000102478	BC085271	other	1	183205071	183206557
ENSMUSG00000049881	2810025M15Rik	other	1	157412352	157420236
ENSMUSG00000101964	Gm28693	other	1	156835287	156837924
ENSMUSG00000103878	Gm8197	other	1	182546250	182555480
ENSMUSG00000101462	Gm3052	other	1	34415050	34417986
ENSMUSG00000044457	Stk-ps2	other	1	46020072	46030469
ENSMUSG00000097291	Gm18828	other	1	36764863	36765874
ENSMUSG00000103767	Gm37858	other	1	177635707	177636937
ENSMUSG00000103032	Gm37121	other	1	62809302	62811857
ENSMUSG00000104343	5730408A14Rik	other	1	175378853	175380676
ENSMUSG00000102860	Gm37638	other	1	161713705	161714827
ENSMUSG00000102605	Gm37264	other	1	75468570	75470761
ENSMUSG00000103625	Gm37357	other	1	161811045	161814167
ENSMUSG00000102299	Gm37539	other	1	155789124	155789358
ENSMUSG00000102837	Gm37383	other	1	155881802	155882546
ENSMUSG00000104279	Gm38300	other	1	178339601	178341470
ENSMUSG00000102833	Gm9694	other	1	155973318	155974506
ENSMUSG00000102964	9430034N14Rik	other	1	156026223	156030007
ENSMUSG00000066752	Gm10176	other	1	162477680	162479943
ENSMUSG00000102994	Gm37767	other	1	162086635	162088468
ENSMUSG00000102372	A430050A11Rik	other	1	156290102	156290747
ENSMUSG00000103199	Gm37648	other	1	156455290	156457852
ENSMUSG00000104293	Gm38043	other	1	156583108	156588248
ENSMUSG00000102961	Gm19918	other	1	156678545	156678944
ENSMUSG00000103656	Gm37205	other	1	61654423	61657158
ENSMUSG00000104081	Gm38278	other	1	61702527	61703891
ENSMUSG00000104402	Gm38012	other	1	61677249	61680277
ENSMUSG00000103002	Gm38075	other	1	61805221	61806140
ENSMUSG00000102359	Gm38351	other	1	62247153	62249670
ENSMUSG00000102459	Gm38352	other	1	153889741	153892297
ENSMUSG00000103821	D430013B06Rik	other	1	59646200	59648071
ENSMUSG00000102749	Gm37598	other	1	177074484	177075784
ENSMUSG00000104502	Gm37737	other	1	59447865	59449502
ENSMUSG00000102561	Gm37039	other	1	60989479	60991963
ENSMUSG00000102168	Gm36943	other	1	61545882	61546163
ENSMUSG00000103251	Gm37519	other	1	176974236	176976445
ENSMUSG00000104391	Gm37960	other	1	177035040	177036936
ENSMUSG00000103163	Gm38146	other	1	177134161	177135453
ENSMUSG00000102133	Gm37106	other	1	177045242	177046773
ENSMUSG00000103646	Gm37706	other	1	177168098	177170862
ENSMUSG00000102427	Gm37463	other	1	177229891	177230686
ENSMUSG00000102211	Gm37490	other	1	176889507	176890230
ENSMUSG00000102404	5530400K19Rik	other	1	153714654	153716569
ENSMUSG00000102607	Gm37265	other	1	39419048	39419932
ENSMUSG00000103840	1700040K01Rik	other	1	152936604	152937041
ENSMUSG00000102858	Gm37086	other	1	181026278	181029729
ENSMUSG00000102325	Gm37789	other	1	103724345	103727233
ENSMUSG00000103634	3110062G12Rik	other	1	176745564	176746982
ENSMUSG00000104154	Gm38104	other	1	176751521	176753415
ENSMUSG00000102374	Gm38387	other	1	66769290	66771866
ENSMUSG00000103756	Gm37285	other	1	66799659	66800797
ENSMUSG00000102776	Gm38162	other	1	66775511	66780107
ENSMUSG00000102559	Gm37570	other	1	66765626	66768731
ENSMUSG00000103382	Gm37755	other	1	66812315	66814493
ENSMUSG00000103706	6820402A03Rik	other	1	66793645	66796298
ENSMUSG00000103991	Gm38031	other	1	104776114	104779128
ENSMUSG00000103060	Gm36969	other	1	104906523	104909331
ENSMUSG00000103818	Gm38009	other	1	153283850	153287190
ENSMUSG00000103215	Gm38388	other	1	60594807	60596236
ENSMUSG00000104478	Gm38212	other	1	108417077	108419832
ENSMUSG00000102722	Gm37935	other	1	134454492	134455473
ENSMUSG00000103543	Gm37669	other	1	153443481	153444300
ENSMUSG00000102276	2900069G24Rik	other	1	181381178	181382488
ENSMUSG00000102594	Gm38381	other	1	168348534	168350808
ENSMUSG00000103780	Gm37524	other	1	168335980	168337671
ENSMUSG00000104069	Gm37198	other	1	60779352	60781461
ENSMUSG00000103100	Gm37664	other	1	181686430	181690242
ENSMUSG00000047384	A730013G03Rik	other	1	192833118	192835214
ENSMUSG00000102160	Gm36944	other	1	110964679	110967437
ENSMUSG00000102788	Gm38255	other	1	110957831	110960826
ENSMUSG00000102937	Gm38116	other	1	15364302	15365834
ENSMUSG00000104149	Gm37138	other	1	15556249	15558337
ENSMUSG00000102728	Gm37934	other	1	111833823	111834224
ENSMUSG00000104379	Gm37509	other	1	15853331	15856499
ENSMUSG00000102280	Gm36999	other	1	82806423	82807468
ENSMUSG00000103553	Gm38218	other	1	66821226	66825914
ENSMUSG00000102856	Gm37084	other	1	131086252	131092149
ENSMUSG00000103463	1700063I16Rik	other	1	168675272	168675882
ENSMUSG00000104044	Gm37566	other	1	105708573	105712927
ENSMUSG00000102549	Gm38137	other	1	60880338	60881738
ENSMUSG00000103348	Gm37053	other	1	106604784	106606870
ENSMUSG00000102685	Gm37373	other	1	57520831	57523642
ENSMUSG00000103846	Gm37809	other	1	160913472	160914402
ENSMUSG00000103739	Gm37653	other	1	160915324	160918901
ENSMUSG00000103343	Gm37052	other	1	160910789	160912619
ENSMUSG00000103493	Gm37411	other	1	164424713	164426994
ENSMUSG00000102982	Gm38319	other	1	13641483	13642748
ENSMUSG00000104140	Gm37140	other	1	97878382	97880065
ENSMUSG00000102139	Gm37109	other	1	130467972	130470225
ENSMUSG00000103751	Gm37283	other	1	130473743	130475313
