ID	SYMBOL	CHROMOSOME	START	STOP	BIOTYPE
WBGene00045784	21ur-1	IV	16687107	16687127	gene
WBGene00046545	21ur-10	IV	16888197	16888217	gene
WBGene00047662	21ur-100	IV	5924799	5924819	gene
WBGene00046838	21ur-1000	IV	14721565	14721585	gene
WBGene00165804	21ur-10000	IV	17151556	17151576	gene
WBGene00170142	21ur-10001	IV	16792991	16793011	gene
WBGene00172568	21ur-10002	IV	14273215	14273235	gene
WBGene00169963	21ur-10003	IV	14175075	14175095	gene
WBGene00166697	21ur-10004	IV	14375004	14375024	gene
WBGene00168543	21ur-10005	IV	14725640	14725660	gene
WBGene00167126	21ur-10007	IV	13728513	13728533	gene
WBGene00173911	21ur-10008	IV	15367392	15367412	gene
WBGene00165711	21ur-10009	IV	5280547	5280567	gene
WBGene00046079	21ur-1001	IV	14830288	14830308	gene
WBGene00170437	21ur-10010	IV	6061934	6061954	gene
WBGene00165811	21ur-10011	IV	6809007	6809027	gene
WBGene00171641	21ur-10012	IV	15789638	15789658	gene
WBGene00167240	21ur-10013	IV	4877595	4877615	gene
WBGene00168291	21ur-10014	IV	14533349	14533369	gene
WBGene00172424	21ur-10015	IV	16698798	16698818	gene
WBGene00169656	21ur-10016	IV	14981872	14981892	gene
WBGene00172597	21ur-10017	IV	13646532	13646552	gene
WBGene00166091	21ur-10018	IV	15413018	15413038	gene
WBGene00168987	21ur-10019	IV	14549386	14549406	gene
WBGene00050303	21ur-1002	IV	15073713	15073733	gene
WBGene00172060	21ur-10020	IV	14273070	14273090	gene
WBGene00167578	21ur-10021	IV	13915056	13915076	gene
WBGene00165380	21ur-10022	IV	16186763	16186783	gene
WBGene00170947	21ur-10023	IV	6992288	6992308	gene
WBGene00174173	21ur-10024	IV	4241941	4241961	gene
WBGene00169753	21ur-10025	IV	15097132	15097152	gene
WBGene00168927	21ur-10026	IV	14408233	14408253	gene
WBGene00174279	21ur-10027	IV	14757966	14757986	gene
WBGene00173405	21ur-10029	IV	6406394	6406414	gene
WBGene00049560	21ur-1003	IV	14987188	14987208	gene
WBGene00174546	21ur-10030	IV	17161677	17161697	gene
WBGene00168860	21ur-10031	IV	5644434	5644454	gene
WBGene00171239	21ur-10032	IV	4986824	4986844	gene
WBGene00165549	21ur-10033	IV	14714755	14714775	gene
WBGene00173749	21ur-10034	IV	16023240	16023260	gene
WBGene00167999	21ur-10035	IV	15658262	15658282	gene
WBGene00174801	21ur-10036	IV	14739613	14739633	gene
WBGene00169123	21ur-10037	IV	16829502	16829522	gene
WBGene00165395	21ur-10038	IV	14024748	14024768	gene
WBGene00174717	21ur-10039	IV	15603048	15603068	gene
WBGene00046712	21ur-1004	IV	6993931	6993951	gene
WBGene00169087	21ur-10040	IV	15715030	15715050	gene
WBGene00172627	21ur-10042	IV	14312409	14312429	gene
WBGene00169437	21ur-10043	IV	15551449	15551469	gene
WBGene00172476	21ur-10044	IV	14869443	14869463	gene
WBGene00166759	21ur-10045	IV	14382936	14382956	gene
WBGene00167375	21ur-10046	IV	4873937	4873957	gene
WBGene00171804	21ur-10047	IV	15071836	15071856	gene
WBGene00165964	21ur-10048	IV	6292056	6292076	gene
WBGene00170265	21ur-10049	IV	16557938	16557958	gene
WBGene00045892	21ur-1005	IV	14749919	14749939	gene
WBGene00174825	21ur-10050	IV	15337834	15337854	gene
WBGene00168367	21ur-10051	IV	14039458	14039478	gene
WBGene00173637	21ur-10052	IV	11245849	11245869	gene
WBGene00168083	21ur-10053	IV	14474665	14474685	gene
WBGene00171111	21ur-10054	IV	14459187	14459207	gene
WBGene00165597	21ur-10055	IV	14239630	14239650	gene
WBGene00174423	21ur-10056	IV	5347800	5347820	gene
WBGene00169056	21ur-10057	IV	14144751	14144771	gene
WBGene00168341	21ur-10058	IV	6478883	6478903	gene
WBGene00173550	21ur-10059	IV	16838689	16838709	gene
WBGene00050491	21ur-1006	IV	14318369	14318389	gene
WBGene00167940	21ur-10060	IV	15305585	15305605	gene
WBGene00174944	21ur-10061	IV	5964031	5964051	gene
WBGene00173991	21ur-10062	IV	15567259	15567279	gene
WBGene00169240	21ur-10063	IV	13893996	13894016	gene
WBGene00165079	21ur-10064	IV	15411187	15411207	gene
WBGene00172175	21ur-10065	IV	13892800	13892820	gene
WBGene00173726	21ur-10066	IV	16083442	16083462	gene
WBGene00168073	21ur-10067	IV	15844576	15844596	gene
WBGene00174481	21ur-10068	IV	15389242	15389262	gene
WBGene00169397	21ur-10069	IV	15243050	15243070	gene
WBGene00049745	21ur-1007	IV	13613257	13613277	gene
WBGene00173819	21ur-10070	IV	16990711	16990731	gene
WBGene00169501	21ur-10071	IV	14591352	14591372	gene
WBGene00172739	21ur-10072	IV	16213862	16213882	gene
WBGene00168494	21ur-10073	IV	14591970	14591990	gene
WBGene00167359	21ur-10074	IV	16248786	16248806	gene
WBGene00170481	21ur-10075	IV	14916516	14916536	gene
WBGene00173835	21ur-10076	IV	15303014	15303034	gene
WBGene00169402	21ur-10077	IV	6136170	6136190	gene
WBGene00167933	21ur-10078	IV	16147023	16147043	gene
WBGene00174951	21ur-10079	IV	5607070	5607090	gene
WBGene00048965	21ur-1008	IV	14179455	14179475	gene
WBGene00170596	21ur-10080	IV	13599092	13599112	gene
WBGene00165644	21ur-10081	IV	16914865	16914885	gene
WBGene00166999	21ur-10082	IV	15778770	15778790	gene
WBGene00172717	21ur-10083	IV	15585508	15585528	gene
WBGene00168418	21ur-10084	IV	15829866	15829886	gene
WBGene00173490	21ur-10085	IV	5724354	5724374	gene
WBGene00174810	21ur-10086	IV	15883332	15883352	gene
WBGene00170941	21ur-10087	IV	14316473	14316493	gene
WBGene00166336	21ur-10088	IV	16152725	16152745	gene
WBGene00171908	21ur-10089	IV	5732994	5733014	gene
WBGene00048177	21ur-1009	IV	15234447	15234467	gene
WBGene00165046	21ur-10091	IV	6767878	6767898	gene
WBGene00174095	21ur-10092	V	3880987	3881007	gene
WBGene00169829	21ur-10093	IV	7894509	7894529	gene
WBGene00174828	21ur-10094	IV	17046413	17046433	gene
WBGene00168099	21ur-10095	IV	17050544	17050564	gene
WBGene00173642	21ur-10096	IV	16279963	16279983	gene
WBGene00171378	21ur-10097	IV	14222540	14222560	gene
WBGene00166368	21ur-10098	IV	12769447	12769467	gene
WBGene00171969	21ur-10099	IV	14692401	14692421	gene
WBGene00045647	21ur-101	IV	16002350	16002370	gene
WBGene00047987	21ur-1010	IV	16047130	16047150	gene
WBGene00174935	21ur-10100	IV	14027724	14027744	gene
WBGene00165819	21ur-10101	IV	14496291	14496311	gene
WBGene00170317	21ur-10102	III	4091693	4091713	gene
WBGene00167672	21ur-10103	IV	14164686	14164706	gene
WBGene00167137	21ur-10104	IV	13615053	13615073	gene
WBGene00168790	21ur-10105	IV	5289408	5289428	gene
WBGene00173650	21ur-10106	IV	14926122	14926142	gene
WBGene00171143	21ur-10107	IV	17196266	17196286	gene
WBGene00165509	21ur-10108	IV	7539994	7540014	gene
WBGene00172212	21ur-10109	IV	7328079	7328099	gene
WBGene00048769	21ur-1011	IV	15280324	15280344	gene
WBGene00173788	21ur-10110	IV	6989293	6989313	gene
WBGene00167412	21ur-10111	IV	5493105	5493125	gene
WBGene00171875	21ur-10112	IV	15777448	15777468	gene
WBGene00165982	21ur-10113	IV	9545226	9545246	gene
WBGene00170460	21ur-10114	IV	5627464	5627484	gene
WBGene00174137	21ur-10115	IV	5011090	5011110	gene
WBGene00170805	21ur-10116	IV	12386685	12386705	gene
WBGene00172611	21ur-10117	IV	6858068	6858088	gene
