ID	SYMBOL	CHROMOSOME	START	STOP	BIOTYPE
ENSMUSG00000102531	1110002O04Rik	1	35918926	35920200	gene
ENSMUSG00000047661	1600012P17Rik	1	158795271	158808033	gene
ENSMUSG00000103746	1700001G17Rik	1	33708900	33710163	gene
ENSMUSG00000100372	1700003I22Rik	1	56058137	56059362	gene
ENSMUSG00000102738	1700006P03Rik	1	137253172	137253580	gene
ENSMUSG00000089730	1700007P06Rik	1	186857335	186860049	gene
ENSMUSG00000101275	1700012E03Rik	1	120363534	120366184	gene
ENSMUSG00000015962	1700016C15Rik	1	177557380	177580890	gene
ENSMUSG00000101483	1700016L21Rik	1	80405912	80457752	gene
ENSMUSG00000060715	1700019A02Rik	1	53197736	53226795	gene
ENSMUSG00000043629	1700019D03Rik	1	52961483	53059338	gene
ENSMUSG00000099808	1700019P21Rik	1	138804010	138804689	gene
ENSMUSG00000100253	1700020N18Rik	1	91332601	91333751	gene
ENSMUSG00000103503	1700023G09Rik	1	186659130	186662309	gene
ENSMUSG00000032666	1700025G04Rik	1	151728154	151965876	gene
ENSMUSG00000101968	1700027A15Rik	1	73024003	73064666	gene
ENSMUSG00000101189	1700029M03Rik	1	164788490	164790394	gene
ENSMUSG00000055833	1700034H15Rik	1	191618242	191639639	gene
ENSMUSG00000097893	1700034P13Rik	1	9817873	9862152	gene
ENSMUSG00000102536	1700039I01Rik	1	63287180	63287658	gene
ENSMUSG00000103840	1700040K01Rik	1	152812355	152812792	gene
ENSMUSG00000100147	1700047M11Rik	1	182115506	182130890	gene
ENSMUSG00000102356	1700047N06Rik	1	10127250	10128169	gene
ENSMUSG00000097001	1700054K02Rik	1	92500096	92500471	gene
ENSMUSG00000044854	1700056E22Rik	1	183765227	183766498	gene
ENSMUSG00000100062	1700063A18Rik	1	95918384	95949483	gene
ENSMUSG00000103463	1700063I16Rik	1	168502841	168503451	gene
ENSMUSG00000100872	1700065J18Rik	1	192523969	192525048	gene
ENSMUSG00000101634	1700066B17Rik	1	39878335	39886494	gene
ENSMUSG00000038323	1700066M21Rik	1	57416779	57424582	gene
ENSMUSG00000099378	1700067G17Rik	1	88943835	88949932	gene
ENSMUSG00000101702	1700072G22Rik	1	51497091	51498090	gene
ENSMUSG00000102231	1700074A21Rik	1	37338433	37338778	gene
ENSMUSG00000045815	1700101I19Rik	1	34618283	34618792	gene
ENSMUSG00000101574	1700112H15Rik	1	184260038	184289888	gene
ENSMUSG00000102822	1700113B19Rik	1	138189380	138189799	gene
ENSMUSG00000099574	1700121L03Rik	1	125118019	125125192	gene
ENSMUSG00000101409	1700122D07Rik	1	59573970	59576388	gene
ENSMUSG00000099945	1700126A01Rik	1	57166499	57168559	gene
ENSMUSG00000100182	1810006J02Rik	1	98059154	98073990	gene
ENSMUSG00000104368	2010103J01Rik	1	185044384	185046000	gene
ENSMUSG00000101791	2210011K15Rik	1	121282845	121287629	gene
ENSMUSG00000085563	2210411M09Rik	1	180779629	180785714	gene
ENSMUSG00000079283	2310009B15Rik	1	138779721	138784590	gene
ENSMUSG00000101257	2310015K22Rik	1	80202761	80207332	gene
ENSMUSG00000085965	2310016D23Rik	1	60817899	60842949	gene
ENSMUSG00000099447	2310030A07Rik	1	150196432	150222522	gene
ENSMUSG00000101746	2310043L19Rik	1	177469108	177470509	gene
ENSMUSG00000102474	2610012C04Rik	1	135408130	135409152	gene
ENSMUSG00000099957	2610027F03Rik	1	120549469	120618132	gene
ENSMUSG00000079671	2610203C22Rik	1	9630705	9701406	gene
ENSMUSG00000103531	2610300A13Rik	1	38806265	38806767	gene
ENSMUSG00000103722	2700078F05Rik	1	181777697	181780940	gene
ENSMUSG00000049881	2810025M15Rik	1	157239922	157247814	gene
ENSMUSG00000087213	2810408I11Rik	1	64719013	64729842	gene
ENSMUSG00000100594	2810414N06Rik	1	151624697	151630801	gene
ENSMUSG00000090260	2810442N19Rik	1	161832538	161844063	gene
ENSMUSG00000026227	2810459M11Rik	1	85973585	85983178	gene
