ID	SYMBOL	CHROMOSOME	START	STOP	BIOTYPE
ENSMUSG00000064372	mt-Tp	MT	15356	15422	gene
ENSMUSG00000064371	mt-Tt	MT	15289	15355	gene
ENSMUSG00000064370	mt-Cytb	MT	14145	15288	gene
ENSMUSG00000064369	mt-Te	MT	14071	14139	gene
ENSMUSG00000064368	mt-Nd6	MT	13552	14070	gene
ENSMUSG00000064367	mt-Nd5	MT	11742	13565	gene
ENSMUSG00000064366	mt-Tl2	MT	11671	11741	gene
ENSMUSG00000064365	mt-Ts2	MT	11613	11671	gene
ENSMUSG00000064364	mt-Th	MT	11546	11612	gene
ENSMUSG00000064363	mt-Nd4	MT	10167	11544	gene
ENSMUSG00000065947	mt-Nd4l	MT	9877	10173	gene
ENSMUSG00000064361	mt-Tr	MT	9808	9875	gene
ENSMUSG00000064360	mt-Nd3	MT	9459	9806	gene
ENSMUSG00000064359	mt-Tg	MT	9391	9458	gene
ENSMUSG00000064358	mt-Co3	MT	8607	9390	gene
ENSMUSG00000064357	mt-Atp6	MT	7927	8607	gene
ENSMUSG00000064356	mt-Atp8	MT	7766	7969	gene
ENSMUSG00000064355	mt-Tk	MT	7700	7764	gene
ENSMUSG00000064354	mt-Co2	MT	7013	7696	gene
ENSMUSG00000064353	mt-Td	MT	6942	7011	gene
ENSMUSG00000064352	mt-Ts1	MT	6870	6938	gene
ENSMUSG00000064351	mt-Co1	MT	5328	6872	gene
ENSMUSG00000064350	mt-Ty	MT	5260	5326	gene
ENSMUSG00000064349	mt-Tc	MT	5192	5257	gene
ENSMUSG00000064348	mt-Tn	MT	5089	5159	gene
ENSMUSG00000064347	mt-Ta	MT	5018	5086	gene
ENSMUSG00000064346	mt-Tw	MT	4950	5016	gene
ENSMUSG00000064345	mt-Nd2	MT	3914	4951	gene
ENSMUSG00000064344	mt-Tm	MT	3845	3913	gene
ENSMUSG00000064343	mt-Tq	MT	3772	3842	gene
ENSMUSG00000064342	mt-Ti	MT	3706	3774	gene
ENSMUSG00000064341	mt-Nd1	MT	2751	3707	gene
ENSMUSG00000064340	mt-Tl1	MT	2676	2750	gene
ENSMUSG00000064339	mt-Rnr2	MT	1094	2675	gene
ENSMUSG00000064338	mt-Tv	MT	1025	1093	gene
ENSMUSG00000064337	mt-Rnr1	MT	70	1024	gene
ENSMUSG00000064336	mt-Tf	MT	1	68	gene
ENSMUSG00000077642	Gm24984	10	72527550	72527682	gene
ENSMUSG00000065208	Gm24616	16	23111617	23111755	gene
