ID	SYMBOL	CHROMOSOME	START	STOP	BIOTYPE
ENSRNOG00000011713	0610030E20Rik	4	104408320	104402588	gene
ENSRNOG00000002191	0610040J01Rik	14	44478041	44387393	gene
ENSRNOG00000063384	1110002E22Rik	2	226588835	226583481	gene
ENSRNOG00000009803	1110032F04Rik	2	153126419	153125676	gene
ENSRNOG00000034107	1110038F14Rik	7	108684358	108682176	gene
ENSRNOG00000042421	1110065P20Rik	5	137110929	137108633	gene
ENSRNOG00000060879	1500009L16Rik	7	20057975	20015102	gene
ENSRNOG00000070184	1600012H06Rik	1	55963333	55949814	gene
ENSRNOG00000014966	1600014C10Rik	1	90886208	90873549	gene
ENSRNOG00000036888	1700001P01Rik	10	82768039	82764438	gene
ENSRNOG00000013566	1700013G24Rik	5	149662945	149659122	gene
ENSRNOG00000051928	1700017N19Rik	7	35443320	35411555	gene
ENSRNOG00000038738	1700019D03Rik	9	48584831	48568409	gene
ENSRNOG00000028533	1700021F07Rik	3	162322455	162315622	gene
ENSRNOG00000039749	1700024G13Rik	16	7644876	7634207	gene
ENSRNOG00000047876	1700028K03Rik	14	2270782	2231451	gene
ENSRNOG00000045541	1700030J22Rik	19	45032683	45022280	gene
ENSRNOG00000062941	1700031L13Rik	14	26019331	26019173	gene
ENSRNOG00000004066	1700056E22Rik	13	95614164	95612866	gene
ENSRNOG00000030551	1700057G04Rik	8	92903755	92860469	gene
ENSRNOG00000066011	1700066B19Rik	18	27327213	27325433	gene
ENSRNOG00000005533	1700067K01Rik	19	24150095	24146815	gene
ENSRNOG00000063481	1700092M07Rik	1	205637144	205631828	gene
ENSRNOG00000046155	1700102P08Rik	8	109097895	109036030	gene
ENSRNOG00000009135	1700109H08Rik	4	30588558	30569045	gene
ENSRNOG00000067280	1700122O11Rik	9	12943070	12941405	gene
ENSRNOG00000024560	1700123L14Rik	4	128789312	128787100	gene
ENSRNOG00000043295	1810010H24Rik	10	91977602	91972410	gene
ENSRNOG00000014654	1810037I17Rik	2	211057681	211055911	gene
ENSRNOG00000036641	2010003K11Rik	1	201785916	201784009	gene
ENSRNOG00000065845	2210017I01Rik	2	178183135	178182848	gene
ENSRNOG00000045733	2310002L09Rik	5	87706183	87692735	gene
ENSRNOG00000046871	2310039H08Rik	9	14208761	14208417	gene
ENSRNOG00000023511	2310050C09Rik	2	178483424	178481373	gene
ENSRNOG00000001570	2310061N02Rik	11	28024476	28023949	gene
ENSRNOG00000050096	2310079G19Rik	11	27948065	27947508	gene
ENSRNOG00000022871	2610008E11Rik	7	10451406	10430206	gene
ENSRNOG00000008244	2700049A03Rik	6	89725962	89623699	gene
ENSRNOG00000023431	2810021J22Rik	10	43645966	43630069	gene
ENSRNOG00000017557	2810459M11Rik	9	86698185	86691867	gene
ENSRNOG00000046262	3110082J24Rik	6	26243651	26241695	gene
ENSRNOG00000017133	4833439L19Rik	17	10061819	10049160	gene
ENSRNOG00000039210	4930402F06Rik	3	18729441	18713197	gene
ENSRNOG00000047310	4930444P10Rik	5	3247589	3225638	gene
ENSRNOG00000070759	4930455H04Rik	2	204955671	204941062	gene
ENSRNOG00000028677	4930503L19Rik	18	64089415	64065740	gene
ENSRNOG00000049537	4930523C07Rik	13	72312103	72274552	gene
ENSRNOG00000042847	4930544D05Rik	10	55333196	55332244	gene
ENSRNOG00000067475	4930563E22Rik	10	56843871	56832412	gene
ENSRNOG00000032990	4931406B18Rik	1	93913028	93900773	gene
ENSRNOG00000003688	4933400A11Rik	X	24393849	24389645	gene
ENSRNOG00000042394	4933403O08Rik	X	77311232	77306795	gene
ENSRNOG00000004914	4933412E24Rik	7	91618033	91616126	gene
ENSRNOG00000063407	5_8S_rRNA	2	1237334	1237182	gene
ENSRNOG00000064856	5_8S_rRNA	2	1362964	1362812	gene
ENSRNOG00000069816	5_8S_rRNA	2	2073764	2073612	gene
ENSRNOG00000064178	5_8S_rRNA	2	2427728	2427576	gene
ENSRNOG00000067493	5_8S_rRNA	2	3557018	3556866	gene
ENSRNOG00000070998	5_8S_rRNA	2	3046873	3046721	gene
ENSRNOG00000068249	5_8S_rRNA	2	590215	590062	gene
ENSRNOG00000064733	5_8S_rRNA	2	372904	372751	gene
ENSRNOG00000069242	5_8S_rRNA	2	788392	788239	gene
ENSRNOG00000068704	5_8S_rRNA	2	61880	61727	gene
ENSRNOG00000068904	5_8S_rRNA	2	954735	954583	gene
ENSRNOG00000063349	5_8S_rRNA	2	719677	719524	gene
ENSRNOG00000068370	5_8S_rRNA	4	598874	598721	gene
ENSRNOG00000066190	5_8S_rRNA	4	749410	749258	gene
ENSRNOG00000067251	5_8S_rRNA	4	494965	494813	gene
ENSRNOG00000069225	5_8S_rRNA	5	71364	71212	gene
ENSRNOG00000070547	5_8S_rRNA	4	3916732	3916580	gene
ENSRNOG00000068392	5_8S_rRNA	4	4738766	4738615	gene
ENSRNOG00000063154	5_8S_rRNA	4	4013602	4013450	gene
ENSRNOG00000068043	5_8S_rRNA	4	1789254	1789102	gene
ENSRNOG00000067403	5_8S_rRNA	4	1546554	1546402	gene
ENSRNOG00000066911	5_8S_rRNA	4	1930037	1929884	gene
ENSRNOG00000064606	5_8S_rRNA	4	2878097	2877944	gene
ENSRNOG00000063335	5_8S_rRNA	4	2953845	2953693	gene
ENSRNOG00000069960	5_8S_rRNA	3	2234902	2234750	gene
ENSRNOG00000064311	5_8S_rRNA	3	3019095	3018943	gene
ENSRNOG00000070537	5_8S_rRNA	3	3031606	3031454	gene
ENSRNOG00000067463	5_8S_rRNA	10	167992	167840	gene
ENSRNOG00000052008	5_8S_rRNA	11	63115	62963	gene
ENSRNOG00000063315	5_8S_rRNA	JACYVU010000238.1	151711	151559	gene
ENSRNOG00000069942	5_8S_rRNA	MU150189.1	1002198	1002046	gene
ENSRNOG00000067717	5_8S_rRNA	JACYVU010000706.1	84782	84630	gene
ENSRNOG00000070263	5_8S_rRNA	JACYVU010000738.1	66922	66770	gene
ENSRNOG00000064592	5S_rRNA	1	243285736	243285618	gene
ENSRNOG00000069982	5S_rRNA	1	243761168	243761050	gene
ENSRNOG00000063149	5S_rRNA	1	182252263	182252145	gene
ENSRNOG00000035046	5S_rRNA	1	207205779	207205662	gene
ENSRNOG00000062514	5S_rRNA	4	20519719	20519601	gene
ENSRNOG00000066442	5S_rRNA	3	41274284	41274166	gene
ENSRNOG00000065549	5S_rRNA	9	94156912	94156794	gene
ENSRNOG00000070840	5S_rRNA	3	151710456	151710338	gene
ENSRNOG00000067176	5S_rRNA	9	104784419	104784301	gene
ENSRNOG00000034316	5S_rRNA	7	63840625	63840510	gene
ENSRNOG00000058198	5S_rRNA	6	40923040	40922922	gene
ENSRNOG00000034938	5S_rRNA	8	106210681	106210563	gene
ENSRNOG00000063776	5S_rRNA	12	1061537	1061420	gene
ENSRNOG00000062433	5S_rRNA	12	1133574	1133457	gene
ENSRNOG00000064748	5S_rRNA	12	1084657	1084540	gene
ENSRNOG00000067454	5S_rRNA	12	1176399	1176282	gene
ENSRNOG00000067227	5S_rRNA	12	1156819	1156702	gene
ENSRNOG00000067552	5S_rRNA	12	1079790	1079673	gene
ENSRNOG00000070719	5S_rRNA	12	1153690	1153573	gene
ENSRNOG00000065615	5S_rRNA	12	1171547	1171430	gene
ENSRNOG00000065400	5S_rRNA	12	1087250	1087133	gene
ENSRNOG00000064405	5S_rRNA	12	1104518	1104401	gene
ENSRNOG00000064696	5S_rRNA	12	1131173	1131056	gene
ENSRNOG00000063764	5S_rRNA	12	1166671	1166554	gene
ENSRNOG00000063697	5S_rRNA	12	1051675	1051558	gene
ENSRNOG00000069325	5S_rRNA	12	1125808	1125691	gene
ENSRNOG00000067994	5S_rRNA	12	1173968	1173851	gene
ENSRNOG00000067666	5S_rRNA	12	1161782	1161665	gene
ENSRNOG00000071042	5S_rRNA	12	1118481	1118364	gene
