ID	SYMBOL	CHROMOSOME	START	STOP	BIOTYPE
FBgn0010339	128up	2R	12037298	12038851	gene
FBgn0010340	140up	3R	14124163	14125548	gene
FBgn0020238	14-3-3epsilon	3R	18242531	18250550	gene
FBgn0004907	14-3-3zeta	2R	10099677	10109687	gene
FBgn0085802	18SrRNA:CR41548	rDNA	43484	45478	gene
FBgn0267498	18SrRNA:CR45838	rDNA	55965	57959	gene
FBgn0267501	18SrRNA:CR45841	rDNA	67668	69662	gene
FBgn0085813	18SrRNA-Psi:CR41602	X	23211192	23213166	gene
FBgn0267521	18SrRNA-Psi:CR45861	X	23280998	23282931	gene
FBgn0004364	18w	2R	20111511	20116932	gene
FBgn0250848	26-29-p	3L	13994231	13996571	gene
FBgn0267497	28SrRNA:CR45837	rDNA	46771	49485	gene
FBgn0267504	28SrRNA:CR45844	rDNA	70955	74924	gene
FBgn0085753	28SrRNA-Psi:CR40596	rDNA	16936	22940	gene
FBgn0085771	28SrRNA-Psi:CR40741	X	23239718	23240975	gene
FBgn0085819	28SrRNA-Psi:CR41609	X	23261772	23262666	gene
FBgn0267508	28SrRNA-Psi:CR45848	rDNA	4492	5312	gene
FBgn0267511	28SrRNA-Psi:CR45851	rDNA	35941	38740	gene
FBgn0267513	28SrRNA-Psi:CR45853	X	23200802	23201056	gene
FBgn0267515	28SrRNA-Psi:CR45855	X	23205822	23206525	gene
FBgn0267519	28SrRNA-Psi:CR45859	X	23214452	23217140	gene
FBgn0267520	28SrRNA-Psi:CR45860	X	23270802	23271158	gene
FBgn0267522	28SrRNA-Psi:CR45862	X	23278007	23280010	gene
FBgn0260793	2mit	3R	13121951	13155687	gene
FBgn0267496	2SrRNA:CR45836	rDNA	46356	46385	gene
FBgn0267500	2SrRNA:CR45840	rDNA	58805	58834	gene
FBgn0267503	2SrRNA:CR45843	rDNA	70540	70569	gene
FBgn0267524	2SrRNA:CR45864	X	23291700	23291729	gene
FBgn0085765	2SrRNA-Psi:CR40677	X	23205409	23205438	gene
FBgn0267510	2SrRNA-Psi:CR45850	rDNA	16526	16555	gene
FBgn0267518	2SrRNA-Psi:CR45858	X	23214040	23214069	gene
FBgn0029514	312	3L	1351116	1352853	gene
FBgn0052016	4E-T	4	951542	958392	gene
FBgn0250731	5.8SrRNA:CR40454	X	23280155	23280277	gene
FBgn0267499	5.8SrRNA:CR45839	rDNA	58654	58776	gene
FBgn0267502	5.8SrRNA:CR45842	rDNA	70389	70511	gene
FBgn0267512	5.8SrRNA:CR45852	rDNA	46205	46327	gene
FBgn0267509	5.8SrRNA-Psi:CR45849	rDNA	16375	16497	gene
FBgn0267514	5.8SrRNA-Psi:CR45854	X	23205258	23205380	gene
FBgn0267517	5.8SrRNA-Psi:CR45857	X	23213889	23214011	gene
FBgn0267523	5.8SrRNA-Psi:CR45863	X	23291549	23291671	gene
FBgn0004168	5-HT1A	2R	19067155	19121958	gene
FBgn0263116	5-HT1B	2R	19022325	19032642	gene
FBgn0087012	5-HT2A	3R	4612870	4633304	gene
FBgn0261929	5-HT2B	3R	8578205	8629996	gene
FBgn0004573	5-HT7	3R	30968236	31016875	gene
FBgn0259178	5PtaseI	3R	25040427	25045151	gene
FBgn0053353	5SrRNA:CR33353	2R	19766144	19766278	gene
FBgn0053354	5SrRNA:CR33354	2R	19765775	19765909	gene
FBgn0053355	5SrRNA:CR33355	2R	19765409	19765543	gene
FBgn0053357	5SrRNA:CR33357	2R	19764648	19764782	gene
FBgn0053358	5SrRNA:CR33358	2R	19764289	19764423	gene
FBgn0053359	5SrRNA:CR33359	2R	19763913	19764047	gene
FBgn0053360	5SrRNA:CR33360	2R	19763544	19763678	gene
FBgn0053361	5SrRNA:CR33361	2R	19763175	19763309	gene
FBgn0053362	5SrRNA:CR33362	2R	19762802	19762936	gene
FBgn0053364	5SrRNA:CR33364	2R	19762068	19762202	gene
FBgn0053365	5SrRNA:CR33365	2R	19761702	19761836	gene
FBgn0053366	5SrRNA:CR33366	2R	19761343	19761477	gene
FBgn0053367	5SrRNA:CR33367	2R	19760967	19761101	gene
FBgn0053368	5SrRNA:CR33368	2R	19760591	19760725	gene
FBgn0053369	5SrRNA:CR33369	2R	19760215	19760349	gene
FBgn0053370	5SrRNA:CR33370	2R	19759842	19759976	gene
FBgn0053372	5SrRNA:CR33372	2R	19759101	19759235	gene
FBgn0053373	5SrRNA:CR33373	2R	19758735	19758869	gene
FBgn0053374	5SrRNA:CR33374	2R	19758362	19758496	gene
FBgn0053375	5SrRNA:CR33375	2R	19757993	19758127	gene
FBgn0053376	5SrRNA:CR33376	2R	19757624	19757758	gene
FBgn0053377	5SrRNA:CR33377	2R	19757255	19757389	gene
FBgn0053378	5SrRNA:CR33378	2R	19756879	19757013	gene
FBgn0053379	5SrRNA:CR33379	2R	19756510	19756644	gene
FBgn0053380	5SrRNA:CR33380	2R	19756141	19756275	gene
FBgn0053381	5SrRNA:CR33381	2R	19755772	19755906	gene
FBgn0053382	5SrRNA:CR33382	2R	19755403	19755537	gene
FBgn0053383	5SrRNA:CR33383	2R	19755034	19755168	gene
FBgn0053384	5SrRNA:CR33384	2R	19754665	19754799	gene
FBgn0053385	5SrRNA:CR33385	2R	19754296	19754430	gene
FBgn0053386	5SrRNA:CR33386	2R	19753927	19754061	gene
FBgn0053387	5SrRNA:CR33387	2R	19753558	19753692	gene
FBgn0053388	5SrRNA:CR33388	2R	19753189	19753323	gene
FBgn0053389	5SrRNA:CR33389	2R	19752816	19752950	gene
FBgn0053390	5SrRNA:CR33390	2R	19752457	19752591	gene
FBgn0053391	5SrRNA:CR33391	2R	19752096	19752229	gene
FBgn0053392	5SrRNA:CR33392	2R	19751727	19751861	gene
FBgn0053393	5SrRNA:CR33393	2R	19751358	19751492	gene
FBgn0053394	5SrRNA:CR33394	2R	19750989	19751123	gene
FBgn0053395	5SrRNA:CR33395	2R	19750620	19750754	gene
FBgn0053396	5SrRNA:CR33396	2R	19750251	19750385	gene
FBgn0053397	5SrRNA:CR33397	2R	19749878	19750012	gene
FBgn0053398	5SrRNA:CR33398	2R	19749512	19749646	gene
FBgn0053399	5SrRNA:CR33399	2R	19749143	19749277	gene
FBgn0053400	5SrRNA:CR33400	2R	19748774	19748908	gene
FBgn0053401	5SrRNA:CR33401	2R	19748405	19748539	gene
FBgn0053402	5SrRNA:CR33402	2R	19748043	19748177	gene
FBgn0053403	5SrRNA:CR33403	2R	19747677	19747811	gene
FBgn0053404	5SrRNA:CR33404	2R	19747318	19747452	gene
FBgn0053405	5SrRNA:CR33405	2R	19746943	19747076	gene
FBgn0053406	5SrRNA:CR33406	2R	19746574	19746708	gene
FBgn0053407	5SrRNA:CR33407	2R	19746201	19746335	gene
FBgn0053408	5SrRNA:CR33408	2R	19745828	19745962	gene
FBgn0053409	5SrRNA:CR33409	2R	19745462	19745596	gene
FBgn0053410	5SrRNA:CR33410	2R	19745096	19745230	gene
FBgn0053411	5SrRNA:CR33411	2R	19744720	19744854	gene
FBgn0053412	5SrRNA:CR33412	2R	19744361	19744495	gene
FBgn0053413	5SrRNA:CR33413	2R	19743995	19744129	gene
FBgn0053414	5SrRNA:CR33414	2R	19743629	19743763	gene
FBgn0053415	5SrRNA:CR33415	2R	19743253	19743387	gene
FBgn0053417	5SrRNA:CR33417	2R	19742503	19742637	gene
FBgn0053418	5SrRNA:CR33418	2R	19742137	19742271	gene
FBgn0053419	5SrRNA:CR33419	2R	19741768	19741902	gene
FBgn0053420	5SrRNA:CR33420	2R	19741406	19741540	gene
FBgn0053421	5SrRNA:CR33421	2R	19741040	19741174	gene
FBgn0053422	5SrRNA:CR33422	2R	19740664	19740798	gene
FBgn0053423	5SrRNA:CR33423	2R	19740305	19740439	gene
