ID	symbol	biotype	chromosome	start	stop
ENSG00000207975	MIR181B1	gene	1	198858873	198858982
ENSG00000239504	RN7SL583P	gene	1	88477828	88478114
ENSG00000264881	MIR1273D	gene	1	10227718	10227803
ENSG00000207340	RNVU1-1	gene	1	148362370	148362533
ENSG00000277344	RNU1-6P	gene	1	16534081	16534224
ENSG00000244389	RN7SL242P	gene	1	70180144	70180440
ENSG00000265753	RN7SL444P	gene	1	151300665	151300964
ENSG00000253085	RF00564	gene	1	13696070	13696199
ENSG00000251958	RNU6-1102P	gene	1	78088988	78089083
ENSG00000239710	RN7SL692P	gene	1	92974827	92975114
ENSG00000238382	RNU6-1211P	gene	1	232700204	232700308
ENSG00000206637	RF00156	gene	1	201978461	201978595
ENSG00000201114	RF00019	gene	1	114490724	114490832
ENSG00000278287	RF02109	gene	1	63549133	63549216
ENSG00000274210	RF00003	gene	1	148522601	148522765
ENSG00000201789	RNU6-1071P	gene	1	146288596	146288696
ENSG00000222222	RNU2-17P	gene	1	150236967	150237156
ENSG00000252450	RF00019	gene	1	32286452	32286561
ENSG00000280498	SNORA16A	gene	1	28580920	28581054
ENSG00000251767	RNU7-8P	gene	1	77420325	77420386
ENSG00000202031	SNORD38A	gene	1	44777843	44777912
ENSG00000264582	RN7SL326P	gene	1	40804846	40805141
ENSG00000206835	RNU1-74P	gene	1	232832017	232832187
ENSG00000265521	MIR5697	gene	1	9967381	9967458
ENSG00000200370	RNA5S17	gene	1	228646040	228646158
ENSG00000206679	RF00019	gene	1	95125511	95125609
ENSG00000222831	MIR1537	gene	1	235853000	235853060
ENSG00000283899	MIR761	gene	1	51836344	51836402
ENSG00000284202	MIR137	gene	1	98046070	98046171
ENSG00000207504	RNU6-1031P	gene	1	67541127	67541233
ENSG00000263675	MIR5581	gene	1	37500935	37500994
ENSG00000207434	RNU6-1072P	gene	1	12922554	12922660
ENSG00000277168	RF00017	gene	1	37953508	37953780
ENSG00000275816	MIR6500	gene	1	51060018	51060103
ENSG00000239494	RN7SL333P	gene	1	169859756	169860052
ENSG00000252744	RF00019	gene	1	148330271	148330394
ENSG00000251914	RNU7-200P	gene	1	20841241	20841302
ENSG00000222952	RNA5SP41	gene	1	13623184	13623284
ENSG00000206980	RNU6-662P	gene	1	151747597	151747700
ENSG00000221040	RF00012	gene	1	116278606	116278821
ENSG00000277678	RF00003	gene	1	145169519	145169664
ENSG00000280466	SCARNA4	gene	1	155925958	155926085
ENSG00000201183	RNVU1-3	gene	1	148402715	148402875
ENSG00000221028	MIR1231	gene	1	201808611	201808702
ENSG00000223306	RNU6-1304P	gene	1	225741275	225741380
